Source,Target,Weight,Label
Julie Gregg,Harry Dean Stanton,1,1
Julie Gregg,Danny Aiello,1,1
Julie Gregg,Roger Corman,1,1
Julie Gregg,Alan Lee,1,1
Julie Gregg,Arthur Tovey,1,1
Italia Coppola,Roman Coppola,2,2
Italia Coppola,Sofia Coppola,2,2
Italia Coppola,Ron Gilbert,1,1
Italia Coppola,Joe Lo Grippo,2,2
Italia Coppola,Tony Lip,1,1
Italia Coppola,Joseph Medaglia,2,2
Italia Coppola,Tom Rosqui,2,2
Italia Coppola,Frank Sivero,2,2
Italia Coppola,Filomena Spagnuolo,2,2
Italia Coppola,Joe Spinell,2,2
Italia Coppola,Nick Vallelonga,1,1
Italia Coppola,Robert De Niro,1,1
Italia Coppola,Harry Dean Stanton,1,1
Italia Coppola,Danny Aiello,1,1
Italia Coppola,Roger Corman,1,1
Italia Coppola,Alan Lee,1,1
Italia Coppola,Arthur Tovey,1,1
Roman Coppola,Sofia Coppola,2,2
Roman Coppola,Ron Gilbert,1,1
Roman Coppola,Joe Lo Grippo,2,2
Roman Coppola,Tony Lip,1,1
Roman Coppola,Joseph Medaglia,2,2
Roman Coppola,Tom Rosqui,2,2
Roman Coppola,Frank Sivero,2,2
Roman Coppola,Filomena Spagnuolo,2,2
Roman Coppola,Joe Spinell,2,2
Roman Coppola,Nick Vallelonga,1,1
Roman Coppola,Robert De Niro,1,1
Roman Coppola,Harry Dean Stanton,1,1
Roman Coppola,Danny Aiello,1,1
Roman Coppola,Roger Corman,1,1
Roman Coppola,Alan Lee,1,1
Roman Coppola,Arthur Tovey,1,1
Sofia Coppola,Ron Gilbert,1,1
Sofia Coppola,Joe Lo Grippo,2,2
Sofia Coppola,Tony Lip,1,1
Sofia Coppola,Joseph Medaglia,2,2
Sofia Coppola,Tom Rosqui,2,2
Sofia Coppola,Frank Sivero,2,2
Sofia Coppola,Filomena Spagnuolo,2,2
Sofia Coppola,Joe Spinell,2,2
Sofia Coppola,Nick Vallelonga,1,1
Sofia Coppola,Robert De Niro,1,1
Sofia Coppola,Harry Dean Stanton,1,1
Sofia Coppola,Danny Aiello,1,1
Sofia Coppola,Roger Corman,1,1
Sofia Coppola,Alan Lee,1,1
Sofia Coppola,Arthur Tovey,1,1
Ron Gilbert,Joe Lo Grippo,1,1
Ron Gilbert,Tony Lip,1,1
Ron Gilbert,Joseph Medaglia,1,1
Ron Gilbert,Tom Rosqui,1,1
Ron Gilbert,Frank Sivero,1,1
Ron Gilbert,Filomena Spagnuolo,1,1
Ron Gilbert,Joe Spinell,1,1
Ron Gilbert,Nick Vallelonga,1,1
Ron Gilbert,Peter Greene,1,1
Ron Gilbert,Pete Postlethwaite,1,1
Ron Gilbert,Kevin Spacey,1,1
Ron Gilbert,Castulo Guerra,1,1
Joe Lo Grippo,Tony Lip,1,1
Joe Lo Grippo,Joseph Medaglia,2,2
Joe Lo Grippo,Tom Rosqui,2,2
Joe Lo Grippo,Frank Sivero,2,2
Joe Lo Grippo,Filomena Spagnuolo,2,2
Joe Lo Grippo,Joe Spinell,2,2
Joe Lo Grippo,Nick Vallelonga,1,1
Joe Lo Grippo,Robert De Niro,1,1
Joe Lo Grippo,Harry Dean Stanton,1,1
Joe Lo Grippo,Danny Aiello,1,1
Joe Lo Grippo,Roger Corman,1,1
Joe Lo Grippo,Alan Lee,1,1
Joe Lo Grippo,Arthur Tovey,1,1
Tony Lip,Joseph Medaglia,1,1
Tony Lip,Tom Rosqui,1,1
Tony Lip,Frank Sivero,2,2
Tony Lip,Filomena Spagnuolo,1,1
Tony Lip,Joe Spinell,1,1
Tony Lip,Nick Vallelonga,2,2
Tony Lip,Robert De Niro,1,1
Tony Lip,Joseph Oliveira,1,1
Tony Lip,Samuel L. Jackson,1,1
Tony Lip,Kevin Corrigan,1,1
Joseph Medaglia,Tom Rosqui,2,2
Joseph Medaglia,Frank Sivero,2,2
Joseph Medaglia,Filomena Spagnuolo,2,2
Joseph Medaglia,Joe Spinell,2,2
Joseph Medaglia,Nick Vallelonga,1,1
Joseph Medaglia,Robert De Niro,1,1
Joseph Medaglia,Harry Dean Stanton,1,1
Joseph Medaglia,Danny Aiello,1,1
